location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Sunshine Duration
unit,°F,mm,%,min
level,2 m elevation corrected,sfc,2 m,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Sunshine Duration
20070120T1400,55.328438,0.0,74.046814,2.4242413
20070120T1500,55.31044,0.0,72.593994,15.757578
20070120T1600,55.040443,0.0,71.97189,18.18182
20070120T1700,54.39244,0.0,72.00073,21.818182
20070120T1800,53.81644,0.0,72.63474,4.8905725
20070120T1900,53.67244,0.0,71.675415,0.0
20070120T2000,53.81644,0.0,69.0203,0.0
20070120T2100,53.49244,0.0,68.64845,0.0
20070120T2200,53.636444,0.0,67.251274,0.0
20070120T2300,54.068443,0.0,63.13057,0.0
20070121T0000,54.08644,0.0,63.44226,0.0
20070121T0100,53.258442,0.0,66.22942,0.0
20070121T0200,53.00644,0.1,68.257935,0.0
20070121T0300,52.34044,0.2,72.778496,0.0
20070121T0400,51.764442,0.4,76.69434,0.0
20070121T0500,51.512444,0.4,77.94991,0.0
20070121T0600,50.50444,0.5,80.48296,0.0
20070121T0700,49.28044,0.5,82.52404,0.0
20070121T0800,47.15644,0.4,83.112465,0.0
20070121T0900,45.860443,0.0,79.811905,26.95101
20070121T1000,45.59044,0.0,74.96974,39.999996
20070121T1100,46.25644,0.0,68.64852,44.242424
20070121T1200,47.10244,0.0,65.48917,43.636364
20070121T1300,47.51644,0.0,63.143898,51.51515
20070121T1400,47.98444,0.0,61.28476,46.909092
20070121T1500,47.98444,0.0,60.321117,47.878788
20070121T1600,47.498444,0.0,59.731064,55.151512
20070121T1700,45.806442,0.0,62.909462,42.909096
20070121T1800,43.53844,0.0,69.20925,11.616161
20070121T1900,41.86444,0.0,74.57866,0.0
20070121T2000,41.10844,0.0,76.853966,0.0
20070121T2100,40.31644,0.0,79.37521,0.0
20070121T2200,39.43444,0.0,81.21349,0.0
20070121T2300,39.056442,0.0,81.890175,0.0
20070122T0000,37.23844,0.0,84.833405,0.0
20070122T0100,37.076443,0.0,85.752106,0.0
20070122T0200,37.40044,0.0,85.65015,0.0
20070122T0300,36.96844,0.0,86.747505,0.0
20070122T0400,36.03244,0.0,89.18314,0.0
20070122T0500,35.33044,0.0,90.65013,0.0
